,overall,class_wise,class_wise_average
1-1,,"{'count': {'Nref': 3.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 440.0, 'Nfp': 0.0, 'Nfn': 3.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
1-2,,"{'count': {'Nref': 64.0, 'Nsys': 9.0, 'Ntp': 7.0, 'Ntn': 377.0, 'Nfp': 2.0, 'Nfn': 57.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': 0.19178082191780824, 'precision': 0.7777777777777778, 'recall': 0.109375}}",
1-3,,"{'count': {'Nref': 148.0, 'Nsys': 54.0, 'Ntp': 50.0, 'Ntn': 291.0, 'Nfp': 4.0, 'Nfn': 98.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': 0.49504950495049505, 'precision': 0.9259259259259259, 'recall': 0.33783783783783783}}",
1-X,,"{'count': {'Nref': 35.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 408.0, 'Nfp': 0.0, 'Nfn': 35.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
2-1,,"{'count': {'Nref': 1.0, 'Nsys': 1.0, 'Ntp': 0.0, 'Ntn': 441.0, 'Nfp': 1.0, 'Nfn': 1.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': 0.0, 'precision': 0.0, 'recall': 0.0}}",
2-2,,"{'count': {'Nref': 4.0, 'Nsys': 7.0, 'Ntp': 2.0, 'Ntn': 434.0, 'Nfp': 5.0, 'Nfn': 2.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': 0.36363636363636365, 'precision': 0.2857142857142857, 'recall': 0.5}}",
2-3,,"{'count': {'Nref': 0.0, 'Nsys': 2.0, 'Ntp': 0.0, 'Ntn': 441.0, 'Nfp': 2.0, 'Nfn': 0.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': None, 'precision': None, 'recall': None}}",
2-4,,"{'count': {'Nref': 0.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 443.0, 'Nfp': 0.0, 'Nfn': 0.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': None, 'precision': None, 'recall': None}}",
2-X,,"{'count': {'Nref': 11.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 432.0, 'Nfp': 0.0, 'Nfn': 11.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
3-1,,"{'count': {'Nref': 73.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 370.0, 'Nfp': 0.0, 'Nfn': 73.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
3-X,,"{'count': {'Nref': 0.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 443.0, 'Nfp': 0.0, 'Nfn': 0.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': None, 'precision': None, 'recall': None}}",
4-1,,"{'count': {'Nref': 2.0, 'Nsys': 7.0, 'Ntp': 2.0, 'Ntn': 436.0, 'Nfp': 5.0, 'Nfn': 0.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': 0.4444444444444445, 'precision': 0.2857142857142857, 'recall': 1.0}}",
4-2,,"{'count': {'Nref': 5.0, 'Nsys': 5.0, 'Ntp': 2.0, 'Ntn': 435.0, 'Nfp': 3.0, 'Nfn': 3.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': 0.4000000000000001, 'precision': 0.4, 'recall': 0.4}}",
4-3,,"{'count': {'Nref': 5.0, 'Nsys': 3.0, 'Ntp': 0.0, 'Ntn': 435.0, 'Nfp': 3.0, 'Nfn': 5.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': 0.0, 'precision': 0.0, 'recall': 0.0}}",
4-X,,"{'count': {'Nref': 11.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 432.0, 'Nfp': 0.0, 'Nfn': 11.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
5-1,,"{'count': {'Nref': 36.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 407.0, 'Nfp': 0.0, 'Nfn': 36.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
5-2,,"{'count': {'Nref': 0.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 443.0, 'Nfp': 0.0, 'Nfn': 0.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': None, 'precision': None, 'recall': None}}",
5-3,,"{'count': {'Nref': 49.0, 'Nsys': 26.0, 'Ntp': 26.0, 'Ntn': 394.0, 'Nfp': 0.0, 'Nfn': 23.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': 0.6933333333333334, 'precision': 1.0, 'recall': 0.5306122448979592}}",
5-4,,"{'count': {'Nref': 13.0, 'Nsys': 2.0, 'Ntp': 2.0, 'Ntn': 430.0, 'Nfp': 0.0, 'Nfn': 11.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': 0.2666666666666667, 'precision': 1.0, 'recall': 0.15384615384615385}}",
5-X,,"{'count': {'Nref': 0.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 443.0, 'Nfp': 0.0, 'Nfn': 0.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': None, 'precision': None, 'recall': None}}",
6-1,,"{'count': {'Nref': 12.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 431.0, 'Nfp': 0.0, 'Nfn': 12.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
6-2,,"{'count': {'Nref': 4.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 439.0, 'Nfp': 0.0, 'Nfn': 4.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
6-3,,"{'count': {'Nref': 1.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 442.0, 'Nfp': 0.0, 'Nfn': 1.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
6-X,,"{'count': {'Nref': 8.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 435.0, 'Nfp': 0.0, 'Nfn': 8.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
7-1,,"{'count': {'Nref': 186.0, 'Nsys': 157.0, 'Ntp': 144.0, 'Ntn': 244.0, 'Nfp': 13.0, 'Nfn': 42.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': 0.8396501457725948, 'precision': 0.9171974522292994, 'recall': 0.7741935483870968}}",
7-2,,"{'count': {'Nref': 29.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 414.0, 'Nfp': 0.0, 'Nfn': 29.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
7-3,,"{'count': {'Nref': 0.0, 'Nsys': 1.0, 'Ntp': 0.0, 'Ntn': 442.0, 'Nfp': 1.0, 'Nfn': 0.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': None, 'precision': None, 'recall': None}}",
7-4,,"{'count': {'Nref': 1.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 442.0, 'Nfp': 0.0, 'Nfn': 1.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
7-X,,"{'count': {'Nref': 5.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 438.0, 'Nfp': 0.0, 'Nfn': 5.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
8-1,,"{'count': {'Nref': 6.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 437.0, 'Nfp': 0.0, 'Nfn': 6.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': nan, 'precision': nan, 'recall': 0.0}}",
8-X,,"{'count': {'Nref': 0.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 443.0, 'Nfp': 0.0, 'Nfn': 0.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': None, 'precision': None, 'recall': None}}",
audio_filename,,"{'count': {'Nref': 0.0, 'Nsys': 0.0, 'Ntp': 0.0, 'Ntn': 443.0, 'Nfp': 0.0, 'Nfn': 0.0}, 'eer': {'eer': None}, 'f_measure': {'f_measure': None, 'precision': None, 'recall': None}}",
count,"{'Nref': 712.0, 'Nsys': 274.0}",,
eer,{'eer': None},,{'eer': None}
f_measure,"{'f_measure': 0.47667342799188644, 'precision': 0.8576642335766423, 'recall': 0.3300561797752809}",,"{'f_measure': 0.3694561280721706, 'precision': 0.5592329727361575, 'recall': 0.15857769937371033}"
